
0.0577824	142208	70886
0.0579072	151088	-52235
0.058032	10805	37271
0.0581568	111785	179991
0.0582816	183471	13277
0.0584064	-77099	-74802
0.0585312	-196903	163675
0.058656	10390	208456
0.0587808	21753	-32250
0.0589056	-177297	-56735
0.0590304	-125699	63513
0.0591552	-507	-48033
0.05928	-81393	-126166
0.0594048	-42913	-9463
0.0595296	148399	-79611
0.0596544	61778	-253827
0.0597792	-118260	-81630
0.059904	57338	155139
0.0600288	242199	30470
0.0601536	80680	-68154
0.0602784	-11742	108844
0.0604032	106163	140381
0.060528	28020	2500
0.0606528	-137188	88557
0.0607776	-33563	174346
0.0609024	18558	-29639
0.0610272	-198521	-110381
0.061152	-213057	74930
0.0612768	21706	38438
0.0614016	18126	-177629
0.0615264	-91951	-118200
0.0616512	65516	-18944
0.061776	160929	-166313
0.0619008	-15272	-165981
0.0620256	-690	93709
0.0621504	217973	113063
0.0622752	153371	-46763
0.0624	-47346	63436
0.0625248	17171	212964
0.0626496	62362	98308
0.0627744	-101237	49372
0.0628992	-102497	144723
0.063024	607	4103
0.0631488	-162440	-174517
0.0632736	-286723	-19287
0.0633984	-37607	86271
0.0635232	130172	-153382
0.063648	-28855	-248732
0.0637728	-21932	-51514
0.0638976	176483	-29842
0.0640224	139308	-119674
0.0641472	46063	31324
0.064272	172704	138277
0.0643968	152203	5050
0.0645216	-89224	56951
0.0646464	-86871	279823
0.0647712	73313	190176
0.064896	-57525	-26218
0.0650208	-223439	32576
0.0651456	-101595	61835
0.0652704	-63142	-145224
0.0653952	-202623	-166760
0.06552	-93346	-15778
0.0656448	137718	-116927
0.0657696	69802	-254563
0.0658944	-8617	-71561
0.0660192	181837	67072
0.066144	242517	-39408
0.0662688	78735	13015
0.0663936	89603	187359
0.0665184	141264	109491
0.0666432	-86776	30498
0.066768	-215563	229663
0.0668928	-27078	253029
0.0670176	-10037	-39206
0.0671424	-241521	-126074
0.0672672	-215132	10032
0.067392	-17940	-85120
0.0675168	-42651	-232846
0.0676416	-48189	-135940
0.0677664	137461	-103758
0.0678912	146357	-203161
0.068016	16142	-55505
0.0681408	156811	176358
0.0682656	304374	86964
0.0683904	106676	-10633
0.0685152	-60952	177352
0.06864	28216	237011
0.0687648	-37124	65350
0.0688896	-239670	81360
0.0690144	-164688	164858
0.0691392	-46114	-38527
0.069264	-193213	-200175
0.0693888	-216096	-63859
0.0695136	42117	-59117
0.0696384	111705	-256875
0.0697632	4533	-205733
0.069888	118417	-27417
0.0700128	237684	-74133
0.0701376	87775	-55196
0.0702624	56605	199134
0.0703872	225358	231208
0.070512	126960	41626
0.0706368	-142849	104055
0.0707616	-123210	252902
0.0708864	-42345	102607
0.0710112	-188356	-42848
0.071136	-223999	18277
0.0712608	-71581	-66866
0.0713856	-104943	-237632
0.0715104	-170060	-125870
0.0716352	80508	-8059
0.07176	254123	-194503
0.0718848	82498	-245396
0.0720096	41133	22886
0.0721344	229285	112662
0.0722592	181044	7371
0.072384	-1329	123323
0.0725088	51474	256229
0.0726336	62388	112482
0.0727584	-165538	50498
0.0728832	-204192	190022
